folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d,longitude,latitude,feepaid_missing,feepaid_clean,business_group
24,4510134,24-129317,10,1260278 BC Ltd,Subway,Issued,2024-01-03T00:12:49-08:00,2024-12-31,Limited Service Food Establishment,,,,4367,W 10TH AV,Vancouver,BC,CA,V6R 2H6,West Point Grey,5.0,,2026-07-01T02:32:16-07:00,,,-123.205016277976,49.264032158993,1,723.0,Limited Service Food Establishment
26,4891998,26-159258,00,Indigo Park Canada Inc / Indigo Parc Canada Inc,Indigo Lot # 143,Issued,2025-12-18T09:56:57-08:00,2026-12-31,Parking Area / Garage,Auto Parking Lot Small,,,1221,BIDWELL ST,Vancouver,BC,CA,V6G 0B1,West End,0.0,277.0,2026-07-22T00:08:58-07:00,,,-123.141069094969,49.286284531319,0,277.0,Parking Area / Garage
24,4519863,24-139786,10,Jared W Enns (Jared Enns),Cassels Brock & Blackwell LLP,Issued,2023-11-21T11:45:58-08:00,2024-12-31,Legal Services,,2200,Unit,885,W GEORGIA ST,Vancouver,BC,CA,V6C 3E8,Downtown,1.0,,2026-07-01T02:32:17-07:00,,,-123.119650025722,49.2836841369494,1,277.0,Legal Services
24,4514344,24-133443,10,Keith E W Mitchell (Keith Mitchell),Harris & Company LLP,Issued,2023-12-20T14:54:37-08:00,2024-12-31,Legal Services,,1400,Unit,550,BURRARD ST,Vancouver,BC,CA,V6C 2B5,Downtown,0.0,,2026-07-01T02:32:16-07:00,,,-123.118286911277,49.2857182786615,1,277.0,Legal Services
26,4875190,26-152606,00,Tumi Canada ULC,Tumi,Issued,2026-01-09T16:09:58-08:00,2026-12-31,Retail Dealer,,R106,Unit,725,GRANVILLE ST,Vancouver,BC,CA,V7Y 1G5,Downtown,5.0,277.0,2026-07-22T00:08:58-07:00,,,-123.119500778402,49.2822434350563,0,277.0,Retail Dealer
24,4363170,24-120140,00,ULTIMATE GOLF GROUP INC.,Ultimate Golf Group,Issued,2023-11-26T15:53:44-08:00,2024-12-31,Fitness Centre,Fitness Centre - Class 2,,,1050,W BROADWAY,Vancouver,BC,,V6H 1E6,Fairview,6.0,335.0,2026-07-01T02:32:13-07:00,,,-123.1275019932,49.263115511172,0,335.0,Fitness Centre
26,4831964,26-109382,00,0794479 BC Ltd,Vancouver Red Star Seafood Restaurant,Issued,2025-12-19T10:44:48-08:00,2026-12-31,Restaurant,Class 1 with liquor service,,,8298,GRANVILLE ST,Vancouver,BC,CA,V6P 4Z4,Marpole,45.0,3726.0,2026-07-22T00:08:55-07:00,,,-123.140028432622,49.2114901571015,0,3726.0,Restaurant
26,4835096,26-112514,00,Limelight Wellness Centre Ltd,,Issued,2026-02-25T15:53:05-08:00,2026-12-31,Beauty Services,Beauty and Wellness Centre,,,488,DRAKE ST,Vancouver,BC,CA,V6B 5S9,Downtown,3.0,423.0,2026-07-22T00:08:55-07:00,,,-123.126050461572,49.2738730144299,0,423.0,Beauty Services
25,4650069,25-142346,00,London Drugs Limited,London Drugs #4,Issued,2025-01-29T10:38:58-08:00,2025-12-31,Insurance Services,,,,525,W BROADWAY,Vancouver,BC,CA,V5Z 1E6,Fairview,143.0,265.0,2026-07-01T02:32:21-07:00,,,-123.115860260146,49.2637076476411,0,265.0,Insurance Services
24,4521405,24-140865,10,Ngoc Hien Do (Ngoc Do),Luxcious Upholstery,Issued,2023-11-22T15:03:57-08:00,2024-12-31,Personal Services,,,,1896,MAIN ST,Vancouver,BC,CA,V5T 3B7,Mount Pleasant,4.0,,2026-07-01T02:32:17-07:00,,,-123.100340717367,49.2685246610611,1,277.0,Other
24,4518510,24-138154,10,(Sandra Mott),Arris Design,Issued,2023-11-21T12:56:30-08:00,2024-12-31,Design Services,,1530,Unit,555,W HASTINGS ST,Vancouver,BC,CA,V6B 4N6,Downtown,1.0,,2026-07-01T02:32:17-07:00,,,-123.111888756655,49.2846829470474,1,277.0,Other
25,4617641,25-109920,00,1444692 B.C. LTD.,Subway,Issued,2025-02-27T14:01:23-08:00,2025-12-31,Restaurant,Class 1 no liquor service,,,7289,KNIGHT ST,Vancouver,BC,CA,V5P 2W9,Sunset,6.0,1101.0,2026-07-01T02:32:19-07:00,,,-123.077499164264,49.2182642823178,0,1101.0,Restaurant
24,4483126,24-100537,10,Maria A Amoruso & Franco Amoruso,Maglern Manor,Issued,2023-12-05T15:31:11-08:00,2024-12-31,Long-term Rental,,,,1744,Barclay St,Vancouver,BC,CA,V6G 1K3,West End,1.0,,2026-07-01T02:32:13-07:00,,,-123.137074409578,49.2893549917341,1,882.0,Long-term Rental
25,4638037,25-130316,00,Provincial Rental Housing Corporation,,Issued,2024-12-13T12:15:41-08:00,2025-12-31,Long-term Rental,Non-Profit Housing,,,566,POWELL ST,Vancouver,BC,CA,V6A 1G9,Strathcona,0.0,265.0,2026-07-01T02:32:20-07:00,,,-123.091917028391,49.2827908660138,0,265.0,Long-term Rental
25,4640672,25-132949,00,1260 Nelson Holdings Ltd,,Issued,2024-11-28T09:36:54-08:00,2025-12-31,Long-term Rental,,103,Unit,1260,Nelson St,Vancouver,BC,CA,V6E 1J5,West End,0.0,11118.0,2026-07-01T02:32:21-07:00,,,-123.131655893897,49.2844494702062,0,11118.0,Long-term Rental
24,4516167,24-135438,10,David J A Bell (David Bell),Guild Yule LLP,Issued,2024-01-29T12:28:25-08:00,2024-12-31,Legal Services,,2100,Unit,1075,W GEORGIA ST,Vancouver,BC,CA,V6E 3C9,Downtown,75.0,,2026-07-01T02:32:16-07:00,,,-123.122189505874,49.2858641494082,1,277.0,Legal Services
25,4620140,25-112419,00,LifeLabs BC Inc,LifeLabs BC LP,Issued,2025-01-06T15:53:01-08:00,2025-12-31,Health Care Professionals and Services,,,,1530,W 7TH AV,Vancouver,BC,CA,V6J 1S3,Fairview,3.0,265.0,2026-07-01T02:32:19-07:00,,,-123.139967205113,49.2651296461194,0,265.0,Health Care Professionals and Services
25,4643486,25-135763,00,RBC Royal Bank Machine ATM Channel,RBC Royal Bank,Issued,2025-03-04T12:43:23-08:00,2025-12-31,Money Services,Bank Machine,121,Unit,370,E BROADWAY,Vancouver,BC,CA,V5T 4G5,Mount Pleasant,0.0,139.0,2026-07-01T02:32:21-07:00,,,-123.097582450757,49.2623856117777,0,139.0,Other
26,4923429,26-183387,00,DWG DESIGN WORK GROUP LTD.,,Issued,2026-01-15T14:00:45-08:00,2026-12-31,Design Services,,517,Unit,8188,MANITOBA ST,Vancouver,BC,,V5X 3A2,Marpole,1.0,354.0,2026-07-22T00:08:58-07:00,,,-123.10901789419,49.2110448675262,0,354.0,Other
25,4623378,25-115657,00,(Nicholass Majoros),,Issued,2024-12-11T09:34:55-08:00,2025-12-31,Health Care Professionals and Services,,MZ1,Unit,970,BURRARD ST,Vancouver,BC,CA,V6Z 2R4,Downtown,1.0,265.0,2026-07-01T02:32:19-07:00,,,-123.125113318281,49.2810836198967,0,265.0,Health Care Professionals and Services
24,4587574,24-130943,11,(William Wells),Will Wells RMT,Issued,2024-09-12T10:21:02-07:00,2024-12-31,Health Care Professionals and Services,,900,Unit,777,W BROADWAY,Vancouver,BC,CA,V5Z 4J7,Fairview,1.0,30.0,2026-07-01T02:32:18-07:00,,,-123.121360055711,49.2636168801002,0,30.0,Health Care Professionals and Services
26,4878602,26-156017,00,Rekord Marine Enterprises Ltd,,Issued,2025-12-15T10:44:46-08:00,2026-12-31,Wholesale Dealer - Non-Food,,,,8194,ONTARIO ST,Vancouver,BC,CA,V5X 3E3,Sunset,11.0,277.0,2026-07-22T00:08:58-07:00,,,-123.1062293772,49.2107309304884,0,277.0,Wholesale Dealer - Non-Food
26,4975630,26-115624,01,Blessings Wellness Centre Ltd,,Issued,2026-05-06T14:50:42-07:00,2026-12-31,Health Care Professionals and Services,,,,606,W BROADWAY,Vancouver,BC,CA,V5Z 1G1,Fairview,1.0,33.0,2026-07-22T00:08:59-07:00,,,-123.117778739981,49.2629459727502,0,33.0,Health Care Professionals and Services
26,4866931,26-144347,00,H & R Block Canada Inc,,Issued,2025-12-02T10:39:02-08:00,2026-12-31,Financial Services,,,,7170,KERR ST,Vancouver,BC,CA,V5S 4W2,Killarney,7.0,277.0,2026-07-22T00:08:57-07:00,,,-123.040183228366,49.2190880619162,0,277.0,Financial Services
25,4617979,25-110258,00,Sea Smart School Society,Sea Smart,Issued,2024-11-18T13:57:41-08:00,2025-12-31,Arts and Creative Instruction,,500,Unit,610,MAIN ST,Vancouver,BC,CA,V6A 2V3,Strathcona,5.0,265.0,2026-07-01T02:32:19-07:00,,,-123.099266799343,49.2792948905005,0,265.0,Other
25,4651738,25-144015,00,Marla Mennie Law Corporation,Harper Grey LLP,Issued,2024-11-21T16:58:27-08:00,2025-12-31,Legal Services,,3200,Unit,650,W GEORGIA ST,Vancouver,BC,CA,V6B 4N8,Downtown,1.0,265.0,2026-07-01T02:32:22-07:00,,,-123.117897724969,49.2818316993831,0,265.0,Legal Services
26,4920615,26-180705,00,GRACE WEALTH & ASSOCIATES INC.,Grace Wealth,Issued,2026-01-20T09:51:03-08:00,2026-12-31,Financial Services,,622,Unit,8188,MANITOBA ST,Vancouver,BC,,V5X 3A2,Marpole,2.0,354.0,2026-07-22T00:08:58-07:00,,,-123.10901789419,49.2110448675262,0,354.0,Financial Services
25,4626600,25-118879,00,Abdera Therapeutics (Canada) ULC,,Issued,2024-12-02T10:18:39-08:00,2025-12-31,Laboratory Services,,500,Unit,1770,W 7TH AV,Vancouver,BC,CA,V6J 4Y6,Fairview,30.0,265.0,2026-07-01T02:32:20-07:00,,,-123.145040495237,49.2652070083778,0,265.0,Other
25,4624863,25-117142,00,Dr. Navchaiten K Dosanjh DC Inc,,Issued,2024-12-31T13:21:04-08:00,2025-12-31,Health Care Professionals and Services,,,,8289,GRANVILLE ST,Vancouver,BC,CA,V6P 4Z6,Marpole,5.0,265.0,2026-07-01T02:32:19-07:00,,,-123.140821319194,49.2116533482128,0,265.0,Health Care Professionals and Services
24,4509491,24-128611,10,Cui Fen Chen (Cui Chen),Ling Nan Dim Sum Food,Issued,2023-12-04T15:42:43-08:00,2024-12-31,Limited Service Food Establishment,,,,3381,KINGSWAY,Vancouver,BC,CA,V5R 5K6,Renfrew-Collingwood,2.0,,2026-07-01T02:32:16-07:00,,,-123.032871790378,49.2329489794652,1,723.0,Limited Service Food Establishment
26,4935997,26-193733,00,C FRESH AGRO INC.,,Issued,2026-03-02T11:52:08-08:00,2026-12-31,Retail Dealer - Food,,,,1651,KINGSWAY,Vancouver,BC,,V5N 2S2,Kensington-Cedar Cottage,2.0,348.0,2026-07-22T00:08:58-07:00,,,-123.070594096517,49.2479207757907,0,348.0,Retail Dealer - Food
26,4841059,26-118476,00,(Chia Hung Wei),Tzu Chi Wellness Group,Issued,2026-01-21T13:01:29-08:00,2026-12-31,Health Care Professionals and Services,,,,8850,OSLER ST,Vancouver,BC,,V6P 4G2,Marpole,2.0,277.0,2026-07-22T00:08:56-07:00,,,-123.131344480036,49.2050615537529,0,277.0,Health Care Professionals and Services
25,4640827,25-133104,00,1534 Harwood Street (St. Pierre) Ltd,,Issued,2024-12-18T13:40:23-08:00,2025-12-31,Long-term Rental,Multiple Dwelling - 99 Year Lease,,,1534,HARWOOD ST,Vancouver,BC,CA,V6G 1X9,West End,0.0,2350.0,2026-07-01T02:32:21-07:00,,,-123.140499677053,49.2832238703012,0,2350.0,Long-term Rental
25,4642511,25-134788,00,Atira Women's Resources Society,,Issued,2024-12-11T14:42:02-08:00,2025-12-31,Association or Society,,,,101,E CORDOVA ST,Vancouver,BC,CA,V6A 1K7,Downtown,12.0,2.0,2026-07-01T02:32:21-07:00,,,-123.101725952589,49.28258219862,0,2.0,Association or Society
24,4533540,24-153194,10,Vancouver East Cultural Centre,York Theatre,Issued,2023-12-27T12:26:21-08:00,2024-12-31,Venue,,,,639,COMMERCIAL DRIVE,Vancouver,BC,CA,V5L 3W3,Grandview-Woodland,140.0,,2026-07-01T02:32:18-07:00,,,-123.070745833026,49.2786794363289,1,801.0,Other
24,4518435,24-138069,10,Peninsula Employment Services Limited,Peninsula Canada,Issued,2023-11-20T13:49:22-08:00,2024-12-31,Consulting and Management Services,,420,Unit,745,THURLOW ST,Vancouver,BC,CA,V6E 0C5,West End,24.0,,2026-07-01T02:32:17-07:00,,,-123.124465550389,49.2853876476896,1,277.0,Consulting and Management Services
25,4651852,25-144129,00,Smart & Biggar LLP/Smart & Biggar S E N C R L,Smart & Biggar,Issued,2024-12-18T15:05:23-08:00,2025-12-31,Legal Services,,1900,Unit,550,BURRARD ST,Vancouver,BC,CA,V6C 2B5,Downtown,44.0,265.0,2026-07-01T02:32:22-07:00,,,-123.118286911277,49.2857182786615,0,265.0,Legal Services
25,4717552,25-194179,00,ADANAC IMMIGRATION SOLUTIONS INC.,,Issued,2025-03-04T15:11:59-08:00,2025-12-31,Consulting and Management Services,,170,Unit,422,RICHARDS ST,Vancouver,BC,,V6B 2Z4,Downtown,1.0,317.0,2026-07-01T02:32:23-07:00,,,-123.111926364132,49.2836865871596,0,317.0,Consulting and Management Services
25,4646949,25-139226,00,The Fourth Generation and Immigration Ltd,,Issued,2025-03-11T22:53:34-07:00,2025-12-31,Consulting and Management Services,,117,Unit,119,W PENDER ST,Vancouver,BC,CA,V6B 1S5,Downtown,2.0,310.0,2026-07-01T02:32:21-07:00,,,-123.108180167369,49.2814635430598,0,310.0,Consulting and Management Services
26,4864162,26-141578,00,C&G Consulting Group Inc,,Issued,2026-01-13T15:50:26-08:00,2026-12-31,Business Support Services,,101,Unit,2529,KINGSWAY,Vancouver,BC,CA,V5R 5H3,Renfrew-Collingwood,1.0,277.0,2026-07-22T00:08:57-07:00,,,-123.053405121688,49.2400602940298,0,277.0,Business Support Services
24,4397238,24-154202,00,Valoroso Foods (1996) Ltd,,Issued,2023-11-23T13:37:58-08:00,2024-12-31,Warehouse Operator - Food,,,,1570,CLARK DRIVE,Vancouver,BC,CA,V5L 3L3,Grandview-Woodland,3.0,481.0,2026-07-01T02:32:13-07:00,,,-123.077055711316,49.270833657241,0,481.0,Other
24,4518811,24-138524,10,Chime Financial Canada Inc,Chime Canada,Issued,2023-12-11T14:43:01-08:00,2024-12-31,Business Support Services,,1500,Unit,601,W HASTINGS ST,Vancouver,BC,CA,V6B 1M8,Downtown,55.0,,2026-07-01T02:32:17-07:00,,,-123.112795003917,49.2850000003813,1,277.0,Business Support Services
25,4649398,25-141675,00,Ian David Heine (Ian Heine),PricewaterhouseCoopers LLP,Issued,2024-11-19T08:31:12-08:00,2025-12-31,Financial Services,,1400,Unit,250,HOWE ST,Vancouver,BC,CA,V6C 3S7,Downtown,1.0,265.0,2026-07-01T02:32:21-07:00,,,-123.113252488858,49.2866526135765,0,265.0,Financial Services
26,4872567,26-149983,00,Stanley Park Operations Ltd,Prospect Point Trading,Issued,2025-12-02T15:53:11-08:00,2026-12-31,Retail Dealer - Food,,,,5601,STANLEY PARK DRIVE,Vancouver,BC,CA,V6G 3H5,West End,18.0,376.0,2026-07-22T00:08:58-07:00,,,-123.126770383867,49.2980554858149,0,376.0,Retail Dealer - Food
25,4619264,25-111543,00,Hoang Thuy Tien Le (Angie) (Hoang Le),Angie Hair Design,Issued,2024-12-28T15:53:52-08:00,2025-12-31,Beauty Services,Beauty and Wellness Centre,,,4460,MAIN ST,Vancouver,BC,CA,V5V 3R3,Riley Park,2.0,360.0,2026-07-01T02:32:19-07:00,,,-123.100877412137,49.2449481450504,0,360.0,Beauty Services
25,4627112,25-119391,00,0852905 BC Ltd,Tim Hortons,Issued,2024-12-27T16:40:24-08:00,2025-12-31,Limited Service Food Establishment,Without Liquor,,,3463,DUNBAR ST,Vancouver,BC,CA,V6S 2C3,Dunbar-Southlands,15.0,692.0,2026-07-01T02:32:20-07:00,,,-123.185528741508,49.2560177850811,0,692.0,Limited Service Food Establishment
26,4871544,26-148960,00,PACIFIC EVERGREEN REALTY LTD.,,Issued,2025-11-14T15:57:31-08:00,2026-12-31,Real Estate Services,,101,Unit,5701,GRANVILLE ST,Vancouver,BC,,V6M 4J7,Kerrisdale,3.0,277.0,2026-07-22T00:08:58-07:00,,,-123.140138355838,49.2339471511796,0,277.0,Real Estate Services
26,4845170,26-122586,00,Ajmer Singh Siddoo (Ajmer Siddoo),,Issued,2025-12-24T10:05:32-08:00,2026-12-31,Long-term Rental,,,,2323,W 2nd Av,Vancouver,BC,CA,V6K 1J4,Kitsilano,0.0,7184.0,2026-07-22T00:08:56-07:00,,,-123.158530982698,49.2702320774623,0,7184.0,Long-term Rental
25,4644348,25-136625,00,Renshaw Travel Service Ltd,,Issued,2024-12-09T19:03:02-08:00,2025-12-31,Tourism Services,,,,2175,W 4TH AV,Vancouver,BC,CA,V6K 1N7,Kitsilano,20.0,265.0,2026-07-01T02:32:21-07:00,,,-123.154410129582,49.2683889555063,0,265.0,Other
24,4484064,24-101492,10,PMF Investments Ltd,Beverley Apt,Issued,2023-12-11T16:07:55-08:00,2024-12-31,Long-term Rental,,,,20,E 12TH AV,Vancouver,BC,CA,,Mount Pleasant,0.0,,2026-07-01T02:32:14-07:00,,,-123.104580758933,49.2599895069782,1,882.0,Long-term Rental
24,4510751,24-129850,10,Polar Bear Clothing Ltd,,Issued,2023-11-21T11:22:06-08:00,2024-12-31,Non-Food Manufacturer Assembler and Processor,,,,1311,E 4TH AV,Vancouver,BC,CA,V5N 1J4,Grandview-Woodland,8.0,,2026-07-01T02:32:16-07:00,,,-123.077031312639,49.2674089504226,1,277.0,Non-Food Manufacturer Assembler and Processor
26,4859867,26-137283,00,Northwest Food Products Ltd,,Issued,2026-01-16T10:09:37-08:00,2026-12-31,Food Manufacturer Assembler and Processor,,,,360,ALEXANDER ST,Vancouver,BC,CA,V6A 1C3,Strathcona,0.0,533.0,2026-07-22T00:08:57-07:00,,,-123.095801988274,49.2837598639069,0,533.0,Food Manufacturer Assembler and Processor
25,4609315,25-101594,00,702249 BC Ltd,The Edge Cafe,Issued,2024-12-11T13:30:05-08:00,2025-12-31,Caterer,,,,1927,E HASTINGS ST,Vancouver,BC,CA,V5L 1T5,Grandview-Woodland,60.0,510.0,2026-07-01T02:32:18-07:00,,,-123.064910782963,49.2814757475963,0,510.0,Other
25,4651196,25-143473,00,Kim A Wigmore Law Corporation,,Issued,2024-12-31T14:30:20-08:00,2025-12-31,Legal Services,,2400,Unit,200,GRANVILLE ST,Vancouver,BC,CA,V6C 1S4,Downtown,1.0,265.0,2026-07-01T02:32:21-07:00,,,-123.112189281814,49.2866321702408,0,265.0,Legal Services
24,4515507,24-134719,10,Tougas Law Corporation,McMillan LLP,Issued,2023-12-11T15:59:55-08:00,2024-12-31,Legal Services,,1500,Unit,1055,W GEORGIA ST,Vancouver,BC,CA,V6E 4N7,Downtown,0.0,,2026-07-01T02:32:16-07:00,,,-123.121463646921,49.2852447964792,1,277.0,Legal Services
26,4970026,26-226229,00,(Svitlana Khadov),Inner Calm Therapy,Issued,2026-05-01T12:03:35-07:00,2026-12-31,Health Care Professionals and Services,,A,Unit,659,MOBERLY ROAD,Vancouver,BC,,V5Z 4B2,Fairview,1.0,262.0,2026-07-22T00:08:59-07:00,,,-123.119268696589,49.2671051581045,0,262.0,Health Care Professionals and Services
25,4627177,25-119456,00,Jovid Investments Inc,Dairy Queen,Issued,2024-12-26T14:35:18-08:00,2025-12-31,Limited Service Food Establishment,Without Liquor,,,2888,MAIN ST,Vancouver,BC,CA,V5T 3G2,Mount Pleasant,18.0,692.0,2026-07-01T02:32:20-07:00,,,-123.100723959039,49.2594910457826,0,692.0,Limited Service Food Establishment
